timestamp,date,blood_pressure,label
1610638000.5250387,2021-01-14T15:26:40.525039Z,132,other
1610638000.5400388,2021-01-14T15:26:40.540039Z,142,other
1610638000.555039,2021-01-14T15:26:40.555039Z,151,other
1610638000.570039,2021-01-14T15:26:40.570039Z,158,other
1610638000.5850391,2021-01-14T15:26:40.585039Z,162,other
1610638000.6000392,2021-01-14T15:26:40.600039Z,165,other
1610638000.615039,2021-01-14T15:26:40.615039Z,166,other
1610638000.6300397,2021-01-14T15:26:40.630039Z,165,other
1610638000.6450396,2021-01-14T15:26:40.645040Z,163,other
1610638000.6600397,2021-01-14T15:26:40.660040Z,159,other
1610638000.6750398,2021-01-14T15:26:40.675040Z,155,other
1610638000.69004,2021-01-14T15:26:40.690040Z,150,other
1610638000.70504,2021-01-14T15:26:40.705040Z,144,other
1610638000.72004,2021-01-14T15:26:40.720040Z,138,other
1610638000.7350402,2021-01-14T15:26:40.735040Z,132,other
1610638000.7500403,2021-01-14T15:26:40.750040Z,127,other
1610638000.7650404,2021-01-14T15:26:40.765040Z,123,other
1610638000.7800405,2021-01-14T15:26:40.780041Z,119,other
1610638000.7950406,2021-01-14T15:26:40.795041Z,115,other
1610638000.8100407,2021-01-14T15:26:40.810041Z,111,other
1610638000.8250408,2021-01-14T15:26:40.825041Z,107,other
1610638000.840041,2021-01-14T15:26:40.840041Z,103,other
1610638000.855041,2021-01-14T15:26:40.855041Z,99,other
1610638000.8700411,2021-01-14T15:26:40.870041Z,95,other
1610638000.8850412,2021-01-14T15:26:40.885041Z,90,other
1610638000.900041,2021-01-14T15:26:40.900041Z,86,other
1610638000.9150414,2021-01-14T15:26:40.915041Z,82,other
1610638000.9300416,2021-01-14T15:26:40.930042Z,79,other
1610638000.9450417,2021-01-14T15:26:40.945042Z,75,other
1610638000.9600418,2021-01-14T15:26:40.960042Z,72,other
1610638000.975042,2021-01-14T15:26:40.975042Z,69,other
1610638000.990042,2021-01-14T15:26:40.990042Z,66,other
1610638001.005042,2021-01-14T15:26:41.005042Z,64,other
1610638001.0200422,2021-01-14T15:26:41.020042Z,63,other
1610638001.0350423,2021-01-14T15:26:41.035042Z,62,other
1610638001.0500424,2021-01-14T15:26:41.050042Z,61,other
1610638001.0650425,2021-01-14T15:26:41.065042Z,61,other
1610638001.0800426,2021-01-14T15:26:41.080043Z,60,other
1610638001.0950427,2021-01-14T15:26:41.095043Z,60,other
1610638001.1100428,2021-01-14T15:26:41.110043Z,61,other
1610638001.125043,2021-01-14T15:26:41.125043Z,64,other
1610638001.140043,2021-01-14T15:26:41.140043Z,70,other
1610638001.1550431,2021-01-14T15:26:41.155043Z,79,other
1610638001.1700432,2021-01-14T15:26:41.170043Z,90,other
